,A,B,C,F
v2856,0.3,0.7,0.6,0.5
v2857,0.8,0.5,0.9,0.4
v2858,0.7,0.0,0.6,0.7
v2859,0.5,0.5,0.5,0.5
v2860,0.2,0.8,0.1,0.4
v2861,0.4,0.2,0.5,0.1
v2862,0.7,0.2,0.9,0.0
v2863,0.4,0.7,0.0,0.7
v2864,0.4,0.7,0.0,0.5
v2865,0.1,1.0,0.0,0.8
v2866,0.0,0.0,0.0,0.0
v2867,1.0,0.0,0.9,0.0
v2868,0.5,0.9,0.0,0.9
v2869,0.8,0.6,0.7,
v2870,0.8,0.7,0.1,0.5
v2871,0.7,0.2,0.3,0.1
v2872,1.0,0.0,0.9,0.3
v2873,1.0,0.4,0.4,0.4
v2874,0.8,0.0,1.0,0.2
v2875,0.9,0.0,0.6,0.0
v2876,0.5,0.7,0.5,0.5
v2877,0.7,1.0,0.0,0.4
v2878,0.2,1.0,0.0,0.5
v2879,0.6,0.5,0.6,0.4
v2880,0.3,0.3,0.2,0.2
v2881,0.8,0.3,1.0,0.3
v2882,0.8,0.0,1.0,0.0
v2883,0.8,0.2,1.0,0.0
v2884,0.7,0.5,0.6,0.4
v2885,0.7,0.4,0.9,0.2
v2886,0.3,1.0,0.0,0.9
v2887,0.4,0.9,0.6,0.6
v2888,0.3,0.2,1.0,0.2
v2889,0.4,0.7,0.2,0.8
v2890,0.8,0.0,0.7,0.0
v2891,0.7,0.0,0.7,0.0
v2892,0.5,0.8,0.3,0.8
v2893,0.9,0.2,0.6,0.0
v2894,0.5,0.5,0.5,0.5
v2895,0.9,0.4,0.7,0.5
v2896,1.0,0.4,0.6,0.0
v2897,0.0,0.9,0.0,0.9
v2898,0.2,0.4,0.3,0.2
v2899,0.9,0.0,1.0,0.0
v2900,0.5,0.0,1.0,0.0
v2901,0.5,0.6,0.0,0.5
v2902,0.7,0.9,0.3,0.8
v2903,0.0,1.0,0.0,1.0
v2904,1.0,0.0,1.0,0.0
v2905,1.0,0.0,1.0,0.0
v2906,0.7,0.5,0.6,0.3
v2907,0.5,0.6,0.4,0.6
v2908,0.5,0.4,0.5,0.5
v2909,0.6,0.1,0.8,0.0
v2910,0.7,0.6,0.7,0.4
v2911,0.5,0.7,0.2,0.7
v2912,0.5,0.5,0.5,0.5
v2913,0.4,0.6,0.3,0.5
v2914,0.8,0.6,0.1,0.1
v2915,0.4,0.6,0.3,0.4
v2916,0.0,0.0,0.2,0.0
v2917,0.5,0.5,0.5,0.5
v2918,0.2,0.7,0.3,0.3
v2919,0.6,0.4,0.7,0.2
v2920,0.6,0.3,0.8,0.3
v2921,0.3,0.8,0.5,0.6
v2922,0.8,0.8,0.2,0.8
v2923,0.0,0.0,0.0,0.0
v2924,0.7,0.4,0.5,0.4
v2925,1.0,0.0,1.0,0.0
v2926,0.4,0.7,0.4,0.5
v2927,0.7,0.3,0.8,0.3
v2928,0.4,0.6,0.3,0.5
v2929,0.4,0.9,0.7,0.7
v2930,0.9,0.4,1.0,0.4
v2931,0.7,0.5,0.8,0.5
v2932,0.7,0.6,0.8,0.5
v2933,0.5,0.5,0.5,0.5
v2934,0.6,0.7,0.4,0.5
v2935,1.0,0.1,0.1,0.5
v2936,0.2,0.9,0.2,0.9
v2937,0.5,0.0,0.5,0.0
v2938,0.8,0.4,0.7,0.1
v2939,0.4,0.6,0.7,0.4
v2940,1.0,0.0,0.7,0.5
v2941,0.7,0.3,1.0,0.3
v2942,0.3,0.7,0.0,0.5
v2943,0.8,0.8,0.2,0.6
v2944,0.0,0.9,0.0,0.3
v2945,0.5,0.6,0.4,0.4
v2946,0.4,0.9,0.3,0.3
v2947,0.4,0.7,0.2,0.7
v2948,0.4,0.7,0.0,0.5
v2949,0.6,0.5,0.9,0.5
v2950,0.7,0.0,0.6,0.1
v2951,0.5,0.0,0.7,0.0
v2952,0.1,0.1,0.5,0.1
v2953,1.0,0.0,0.7,0.6
v2954,0.6,0.0,0.6,0.0
v2955,0.7,0.0,0.8,0.0
v2956,0.3,0.8,0.0,0.9
v2957,0.8,0.5,0.7,0.5
v2958,0.5,0.5,0.8,0.5
v2959,1.0,0.5,0.7,0.4
v2960,0.6,0.6,0.5,0.5
v2961,0.0,1.0,0.5,0.6
v2962,0.8,0.0,0.7,0.5
v2963,0.7,0.1,0.8,0.0
v2964,0.7,0.9,0.2,0.7
v2965,1.0,0.0,0.7,0.0
v2966,0.8,0.0,1.0,0.0
v2967,0.7,0.3,0.4,0.6
v2968,0.7,0.0,0.8,0.0
v2969,0.5,0.7,0.4,0.5
v2970,0.8,0.8,0.7,0.4
v2971,0.5,0.3,0.6,0.3
v2972,0.8,0.1,0.8,0.0
v2973,0.4,0.6,0.2,0.6
v2974,1.0,0.0,1.0,0.0
v2975,0.5,0.5,0.8,0.3
v2976,0.8,0.9,0.5,0.7
v2977,0.0,1.0,0.0,1.0
v2978,0.5,0.5,0.0,0.3
v2979,0.4,0.0,0.8,0.0
v2980,0.0,1.0,0.8,1.0
v2981,0.5,0.8,0.0,0.8
v2982,0.5,0.8,0.6,0.6
v2983,0.5,0.9,0.0,0.7
v2984,0.6,0.0,1.0,0.0
v2985,0.5,0.0,0.9,0.1
v2986,0.5,0.0,1.0,0.0
v2987,0.8,0.4,0.7,0.1
v2988,0.7,0.0,1.0,0.0
v2989,0.5,0.2,0.8,0.1
v2990,0.1,0.5,0.0,0.5
v2991,0.5,0.5,0.5,0.4
v2992,0.5,0.5,0.5,0.5
v2993,1.0,0.0,0.6,0.0
v2994,0.0,0.9,0.0,0.7
v2995,0.8,0.6,0.8,0.5
v2996,0.8,0.4,0.7,0.2
v2997,0.7,0.3,0.8,0.3
v2998,1.0,0.0,1.0,0.0
v2999,0.5,0.5,0.5,0.5
v3000,1.0,0.3,0.8,0.3
v3001,0.8,0.0,0.6,0.3
v3002,0.9,0.0,0.6,0.0
v3003,0.7,0.3,0.6,0.5
v3004,0.1,0.8,0.0,0.9
v3005,0.6,0.4,0.5,0.1
v3006,0.7,0.7,0.7,0.7
v3007,0.9,0.6,0.9,0.4
v3008,0.3,0.0,1.0,0.0
v3009,0.9,0.0,0.7,0.0
v3010,0.6,0.0,0.8,0.3
v3011,0.0,0.0,0.0,0.0
v3012,0.7,0.1,0.0,0.1
v3013,0.7,0.3,0.2,0.2
v3014,0.8,0.2,0.0,0.3
v3015,0.0,0.0,0.8,0.0
v3016,0.8,0.0,0.2,0.0
v3017,1.0,0.1,0.6,0.0
v3018,0.6,0.8,0.4,0.6
v3019,0.2,1.0,0.5,0.9
v3020,0.6,0.3,0.4,0.3
v3021,0.8,0.1,0.8,0.2
v3022,0.6,0.8,0.5,0.5
v3023,0.7,0.0,1.0,0.0
v3024,0.5,0.1,0.4,0.4
v3025,0.6,0.8,0.0,0.8
v3026,0.9,0.2,0.9,0.0
v3027,0.6,0.5,0.0,0.4
v3028,0.0,1.0,0.1,0.2
v3029,0.4,0.0,0.8,0.0
v3030,0.4,0.7,0.3,0.7
v3031,0.6,0.6,0.7,0.5
v3032,0.5,0.8,0.5,0.2
v3033,1.0,0.4,0.7,0.1
v3034,0.9,0.5,1.0,0.5
v3035,0.8,0.4,1.0,0.3
v3036,0.7,0.4,0.5,0.0
v3037,0.8,0.4,0.8,0.5
v3038,0.1,0.1,0.0,0.1
v3039,0.5,0.3,0.5,0.0
v3040,0.5,0.4,0.0,0.5
v3041,0.5,0.0,0.2,0.0
v3042,1.0,0.1,0.3,0.1
v3043,0.7,0.2,0.7,0.2
v3044,0.1,0.1,0.5,0.1
v3045,0.3,0.7,0.2,0.2
v3046,0.4,0.6,0.5,0.6
v3047,0.8,0.7,0.7,0.5
v3048,0.4,0.1,0.7,0.0
v3049,0.8,0.3,0.7,0.3
v3050,1.0,0.0,0.9,0.0
v3051,0.6,0.1,0.8,0.1
v3052,0.8,0.9,0.8,1.0
v3053,0.5,0.2,0.7,0.1
v3054,0.4,0.5,0.1,0.1
v3055,0.9,0.7,0.8,0.5
v3056,1.0,0.3,1.0,0.3
v3057,0.4,0.9,0.7,0.6
v3058,0.0,1.0,0.0,1.0
v3059,0.8,0.0,1.0,0.0
v3060,0.6,0.6,0.2,0.4
v3061,0.8,0.9,0.6,0.8
v3062,0.6,0.4,0.7,0.0
v3063,0.0,0.8,0.0,0.9
v3064,1.0,0.0,1.0,0.0
v3065,0.3,0.7,0.0,0.7
v3066,0.5,0.4,0.5,0.2
v3067,0.3,0.8,0.0,0.9
v3068,0.0,1.0,0.0,0.9
v3069,0.0,1.0,0.0,1.0
v3070,0.2,0.6,0.5,0.6
v3071,0.7,0.3,0.0,0.2
v3072,0.4,0.8,0.2,0.7
v3073,0.0,0.2,0.0,0.2
v3074,0.5,0.5,0.5,0.5
v3075,0.8,0.5,0.5,0.2
v3076,0.0,0.6,0.0,0.6
v3077,0.4,0.6,0.3,0.5
v3078,0.9,0.6,0.7,0.7
v3079,0.7,0.7,0.0,0.7
v3080,1.0,0.3,1.0,0.0
v3081,0.5,0.0,1.0,0.0
v3082,1.0,0.0,0.8,0.0
v3083,0.8,0.4,0.6,0.3
v3084,0.0,0.4,1.0,0.7
v3085,0.5,0.5,0.8,0.0
v3086,0.8,0.9,0.2,0.2
v3087,0.5,0.5,0.0,0.6
v3088,0.5,0.5,0.5,0.0
v3089,0.2,0.2,0.2,0.2
v3090,0.8,0.5,0.5,0.5
v3091,0.0,0.7,0.0,0.9
v3092,0.1,0.5,0.0,0.6
v3093,0.8,0.1,0.8,0.0
v3094,0.2,0.8,0.3,0.7
v3095,1.0,0.0,0.7,0.0
v3096,0.5,0.3,0.7,0.3
v3097,0.9,0.0,0.3,0.0
v3098,0.8,0.0,1.0,0.0
v3099,0.5,0.8,0.0,0.0
v3100,0.4,0.3,0.5,0.3
v3101,0.3,0.7,0.3,0.1
v3102,0.5,0.5,0.5,0.5
v3103,0.9,0.3,0.8,0.6
v3104,0.7,0.4,0.4,0.3
v3105,0.2,0.1,0.0,0.1
v3106,0.5,0.6,0.5,0.4
v3107,0.9,0.0,0.7,0.0
v3108,1.0,0.0,1.0,0.0
v3109,0.7,0.6,0.0,0.1
v3110,0.1,1.0,0.1,0.5
v3111,0.5,0.7,0.8,0.5
v3112,0.0,0.0,0.0,0.3
v3113,0.1,0.1,0.0,0.1
v3114,0.2,0.9,0.0,0.9
v3115,0.7,0.5,0.9,0.5
v3116,0.2,0.8,0.1,0.1
v3117,0.8,0.7,0.4,
v3118,0.7,0.1,0.8,0.0
v3119,0.0,0.0,0.0,0.8
v3120,0.5,0.0,0.7,0.4
v3121,0.4,0.2,0.2,0.2
v3122,0.8,0.8,0.8,0.8
v3123,0.5,0.7,0.0,0.7
v3124,1.0,0.0,0.6,0.0
v3125,0.3,0.3,0.2,0.2
v3126,0.0,0.7,0.0,
v3127,1.0,1.0,0.5,0.5
v3128,0.8,0.2,0.6,0.2
v3129,1.0,0.0,0.9,0.2
v3130,0.1,0.6,0.1,0.6
v3131,1.0,0.3,1.0,0.3
v3132,0.8,0.0,1.0,0.0
v3133,0.1,0.3,0.3,0.3
v3134,1.0,0.0,0.5,0.0
v3135,0.1,0.7,0.1,0.5
v3136,0.9,1.0,0.6,0.9
v3137,0.6,,0.5,
v3138,0.1,0.5,0.0,0.9
v3139,0.7,0.0,0.8,0.0
v3140,0.3,0.7,0.1,0.7
v3141,0.6,0.3,0.7,0.3
v3142,1.0,0.0,0.6,0.0
v3143,0.9,0.6,0.7,0.3
v3144,0.5,0.7,0.1,0.7
v3145,0.6,0.3,0.8,0.2
v3146,0.8,0.2,1.0,0.0
v3147,0.6,0.6,0.5,0.5
v3148,0.9,0.6,0.7,0.6
v3149,0.0,1.0,0.0,1.0
v3150,0.7,0.0,0.7,0.0
v3151,0.7,0.4,0.7,0.1
v3152,0.5,0.5,0.0,0.3
v3153,0.7,0.0,1.0,0.0
v3154,0.3,0.8,0.3,0.5
v3155,0.7,0.7,0.6,0.4
v3156,0.6,0.6,0.0,0.5
v3157,0.6,0.4,0.6,0.4
v3158,0.5,0.0,0.5,0.0
v3159,0.8,0.0,0.8,0.0
v3160,0.4,0.8,0.1,0.7
v3161,0.5,0.5,0.5,0.5
v3162,0.6,0.6,0.6,0.5
v3163,0.7,0.3,0.8,0.1
v3164,0.4,0.8,0.3,0.8
v3165,1.0,0.0,0.9,0.0
v3166,0.8,0.4,0.5,0.2
v3167,0.7,0.6,0.6,0.5
v3168,0.8,0.2,0.6,0.0
v3169,0.0,0.5,0.0,0.5
v3170,0.9,0.3,0.8,0.2
v3171,0.6,0.7,0.5,0.5
v3172,0.9,0.7,0.9,0.7
v3173,0.0,0.0,0.0,0.0
v3174,0.4,0.0,0.7,0.0
v3175,0.5,0.5,0.5,0.5
v3176,1.0,0.2,0.5,0.2
v3177,0.8,0.0,0.9,0.2
v3178,0.9,0.4,0.4,0.7
v3179,0.1,0.8,0.7,0.7
v3180,0.6,0.8,0.6,0.8
v3181,0.8,0.0,1.0,0.0
v3182,0.6,0.7,0.3,0.4
v3183,1.0,0.0,0.6,0.3
v3184,0.6,0.6,0.5,0.5
v3185,0.4,0.7,0.1,0.7
v3186,0.7,1.0,0.5,0.8
v3187,0.6,0.0,0.7,0.0
v3188,0.6,0.0,0.8,0.0
v3189,0.4,0.8,0.5,0.8
v3190,0.8,0.0,0.8,0.0
v3191,0.8,0.2,0.5,0.2
v3192,0.5,0.7,0.4,0.7
v3193,0.5,0.5,0.5,0.5
v3194,1.0,0.1,0.8,0.2
v3195,1.0,,0.8,
v3196,0.8,0.2,0.9,0.2
v3197,0.5,0.5,0.5,0.5
v3198,0.9,0.2,0.9,0.2
v3199,0.4,0.7,0.3,0.5
v3200,0.8,0.3,0.9,0.2
v3201,0.9,0.7,0.7,0.7
v3202,0.5,0.2,1.0,0.0
v3203,0.5,0.7,0.0,0.8
v3204,0.5,0.5,0.5,0.5
v3205,0.8,1.0,0.6,0.4
v3206,0.1,0.5,0.0,0.7
v3207,0.4,0.0,0.8,0.1
v3208,0.8,0.4,0.7,0.3
v3209,0.7,0.3,0.4,0.2
v3210,0.5,0.0,0.8,0.0
v3211,0.6,0.9,0.7,0.7
v3212,0.5,0.0,0.5,0.2
v3213,0.5,0.0,0.0,0.5
v3214,0.0,0.0,0.0,0.0
v3215,0.4,0.4,0.4,0.4
v3216,0.5,0.3,0.5,0.4
v3217,0.6,0.0,0.6,0.0
v3218,0.1,0.0,0.1,0.0
v3219,0.4,0.7,0.2,0.5
v3220,0.8,0.9,0.8,0.7
v3221,0.5,1.0,0.0,0.9
v3222,0.9,0.3,0.5,0.2
v3223,0.6,0.9,0.2,0.9
v3224,0.4,0.4,0.5,0.2
v3225,0.8,0.0,0.8,0.0
v3226,1.0,0.1,0.5,0.0
v3227,0.5,0.8,0.0,0.9
v3228,0.4,0.8,0.2,0.8
v3229,0.0,0.7,0.0,0.8
v3230,0.5,0.3,1.0,0.2
v3231,0.7,0.7,0.3,0.5
v3232,0.0,0.0,0.0,0.0
v3233,0.5,0.6,0.4,0.6
v3234,0.7,0.0,0.8,0.0
v3235,0.5,0.5,0.5,0.5
v3236,0.8,0.5,0.6,0.4
v3237,0.2,1.0,0.9,0.7
v3238,0.7,0.0,1.0,0.0
v3239,0.3,1.0,0.3,1.0
v3240,0.9,0.4,0.5,0.5
v3241,1.0,0.2,0.8,0.0
v3242,0.5,0.3,0.8,0.4
v3243,0.7,0.0,1.0,0.0
v3244,0.5,0.5,0.5,0.5
v3245,0.7,0.3,0.0,0.3
v3246,0.0,0.9,0.0,0.9
v3247,0.9,0.6,0.6,0.6
v3248,0.5,0.5,0.6,0.5
v3249,0.8,0.1,0.8,0.1
v3250,0.0,0.0,0.0,0.0
v3251,0.8,0.8,0.5,0.5
